TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
18425675002888,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675054941,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675114094,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675170253,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675226802,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675284042,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675338309,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675385977,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675441119,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675520623,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675576654,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675622463,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675663261,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675705753,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675748959,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675793195,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675842050,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675886501,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675923571,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675959336,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425675999800,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425676108882,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425676156476,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425677371013,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678205335,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678333950,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678389497,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678440871,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
18425678487392,7620,2,1,0,0,0,0,0,/home/anthony/.config/BraveSoftware/Brave-Browser/Default/Servi
